product_id,timestamp,price,midprice,log_return,spread_abs,spread_bps,vol_60s,mean_return_60s,n_ticks_60s,trade_intensity_60s,future_vol_60s,vol_spike
BTC-USD,2026-04-04 23:01:59.717322517+00:00,67377.21,67377.215,0.0,0.00999999999476131,0.0014841812613895233,4.0161610543106907e-05,-9.473885387955718e-07,199,3.316666666666667,3.279647676469001e-05,0
BTC-USD,2026-04-04 23:01:59.970798278+00:00,67377.21,67377.215,0.0,0.00999999999476131,0.0014841812613895233,4.01616105431069e-05,-9.473885387955718e-07,199,3.316666666666667,3.289838962886856e-05,0
BTC-USD,2026-04-04 23:02:00.472419486+00:00,67377.21,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.024149441570909e-05,-1.0410803689331684e-06,198,3.3,3.289838962886856e-05,0
BTC-USD,2026-04-04 23:02:00.725711783+00:00,67377.21,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.013981368939508e-05,-1.0358223872718898e-06,199,3.316666666666667,3.289838962886856e-05,0
BTC-USD,2026-04-04 23:02:00.745475553+00:00,67381.52,67381.515,6.396617126722637e-05,0.010000000009313226,0.0014840865494510217,4.030178531643468e-05,-7.091792030784313e-07,200,3.3333333333333335,3.2580465828106127e-05,0
BTC-USD,2026-04-04 23:02:00.969439564+00:00,67381.51,67381.515,-1.484086549421845e-07,0.010000000009313226,0.0014840865494510217,4.0403397730649494e-05,-7.127610219987227e-07,199,3.316666666666667,3.268285976411262e-05,0
BTC-USD,2026-04-04 23:02:01.016227192+00:00,67381.51,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.050578262488664e-05,-7.163790982525233e-07,198,3.3,3.268285976411262e-05,0
BTC-USD,2026-04-04 23:02:01.220381230+00:00,67381.51,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.0403397730649494e-05,-7.127610219987227e-07,199,3.316666666666667,3.2786153898864824e-05,0
BTC-USD,2026-04-04 23:02:01.535787913+00:00,67381.51,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.0698208115389494e-05,-7.975394250644555e-07,196,3.2666666666666666,3.2580609964067024e-05,0
BTC-USD,2026-04-04 23:02:01.750270213+00:00,67381.52,67381.515,1.4840865501049382e-07,0.010000000009313226,0.0014840865494510217,4.07922453540911e-05,-7.297516722469713e-07,195,3.25,3.26828597949125e-05,0
